"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2001",2.108,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2002",0.907,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2003",2,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2004",1.635,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2005",2.021,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2006",0.917,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2007",1.079,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2008",1.583,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2009",1.573,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2010",2.03,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2011",2.151,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2012",1.761,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2013",2.006,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2014",1.917,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2015",1.974,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2016",2.61,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2017",1.918,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2018",1.692,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2019",1.485,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2020",2.4,
"AUS","CROPYIELD","WHEAT","TONNE_HA","A","2021",2.021,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2001",1.945,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2002",1.832,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2003",2.257,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2004",2.641,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2005",2.738,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2006",2.61,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2007",2.332,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2008",2.858,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2009",2.79,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2010",2.809,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2011",2.957,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2012",2.874,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2013",3.598,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2014",3.082,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2015",2.893,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2016",3.581,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2017",3.382,
"CAN","CROPYIELD","WHEAT","TONNE_HA","A","2018",3.274,
