,country,2000-2002,2005-2007,2011-2013,2018-2020
1,Afghanistan,47.8,33.3,28.2,25.6
2,Albania,4.9,8.8,3.5,3.9
3,Algeria,8,6.4,3.3,2.5
4,Angola,67.5,49.3,16.3,17.3
5,Argentina,3,3.4,3.1,3.9
6,Armenia,26.1,9.3,3.6,3.4
7,Azerbaijan,17,2.8,2.5,2.5
9,Bangladesh,15.9,13.8,15.5,9.7
10,Belarus,2.5,2.5,2.5,2.5
11,Benin,17.2,11,7.9,7.6
13,Bolivia (Plurinat. State of),27.9,24.6,16.5,12.6
14,Bosnia & Herzegovina,3.2,2.5,2.5,2.5
15,Botswana,23.7,27.5,29.7,29.3
16,Brazil,10.7,6.2,3.1,2.5
17,Bulgaria,4,5.1,4,3
18,Burkina Faso,22.6,17.1,12.7,14.4
20,Cabo Verde,14.5,11.4,16,15.4
21,Cambodia,23.6,15.6,12,6.2
22,Cameroon,22.9,14.1,5.8,5.3
23,Central African Republic,39.2,37.7,32.8,48.2
24,Chad,38.8,38.4,33.6,31.7
25,Chile,3.4,3.1,3.2,3.4
26,China,10,6.1,2.5,2.5
27,Colombia,8.7,11.4,10.1,8.8
29,Congo (Republic of),27,36.6,33,37.7
30,Costa Rica,4.7,3.9,3.8,3.1
31,Côte d'Ivoire,20.4,20.2,21.9,14.9
32,Croatia,6.8,2.5,2.5,2.5
33,Cuba,2.5,2.5,2.5,2.5
34,Dem. Rep. of the Congo,38.2,38.5,41.5,41.7
35,Djibouti,42,27.3,20.8,16.2
36,Dominican Republic,20.4,16.4,9.7,8.3
37,Ecuador,21,22.8,9.1,12.4
38,Egypt,5.2,6,5.2,5.4
39,El Salvador,7.2,9.4,10.5,8.5
42,Estonia,3.6,2.5,2.5,2.5
43,Eswatini,10.5,10.2,18,11.6
44,Ethiopia,47,35.6,25.3,16.2
45,Fiji,4,3.7,3.4,5.6
46,Gabon,10.7,14.8,17.3,15.7
47,Gambia,17.8,20.7,13,13.6
48,Georgia,7.7,4,4.3,8.7
49,Ghana,14.9,10.6,7.2,6.1
50,Guatemala,22.2,17.8,17,16.8
53,Guyana,6.5,7.1,5.9,5.2
54,Haiti,53.2,54.2,47.7,46.8
55,Honduras,21.9,21.8,13.4,13.5
56,India,18.4,19.6,15,15.3
57,Indonesia,19.2,19,9.4,6.5
58,Iran (Islamic Republic of),4.8,5.5,6.2,5.5
59,Iraq,22.4,25.1,37.1,37.5
60,Jamaica,7.4,7.7,10.1,7.7
61,Jordan,9.7,5.7,8.5,9.5
62,Kazakhstan,6.5,6.3,2.8,2.5
63,Kenya,32.2,26.1,24.9,24.8
64,Korea (DPR),35.7,36.1,42.7,42.4
65,Kuwait,2.6,2.5,2.5,2.5
66,Kyrgyzstan,15.1,9.7,8.1,7.2
67,Lao PDR,31.2,20.6,14.5,5.3
68,Latvia,4.6,2.5,2.5,2.5
69,Lebanon,7.8,10.5,14.9,9.3
70,Lesotho,20,12.8,11.8,23.5
71,Liberia,36.6,35.3,36.3,38.9
73,Lithuania,2.5,2.5,2.5,2.5
74,Madagascar,33.8,31,29.7,43.2
75,Malawi,23.6,20.8,15.9,17.3
76,Malaysia,2.5,3.4,2.8,3.2
78,Mali,16.2,11.9,4.7,10.4
79,Mauritania,8.3,8.8,7,9.1
80,Mauritius,5.7,5,5.6,6.2
81,Mexico,3.3,4.1,4.8,7.2
83,Mongolia,31.1,27.4,17.3,4.3
85,Morocco,6.3,5.6,4.9,4.2
86,Mozambique,36.5,32.4,21,31.2
87,Myanmar,37.6,24.8,11.2,7.6
88,Namibia,13.5,20.1,29.6,19.8
89,Nepal,23.5,15.9,8.1,4.8
90,Nicaragua,27.5,22.2,17.8,19.3
92,Nigeria,8.9,6.7,8.8,14.6
93,North Macedonia,7.5,4.4,3.7,2.7
94,Oman,12.3,9.6,7.3,8.2
95,Pakistan,21.1,16.4,15.9,12.9
96,Panama,24.5,18.5,9.1,7.5
97,Papua New Guinea,26.3,27.3,21.3,24.6
98,Paraguay,10.5,9.7,7.7,9.2
99,Peru,21.5,15.7,6.7,8.7
100,Philippines,18.7,14,13.7,9.4
102,Romania,2.5,2.5,2.5,2.5
103,Russian Federation,4,2.5,2.5,2.5
104,Rwanda,38.5,33.7,34.3,35.2
105,Saudi Arabia,4.9,4.5,5.4,3.9
106,Senegal,24,15.5,12,7.5
108,Sierra Leone,50.7,43.7,24.3,26.2
109,Slovakia,6.1,5.6,3.4,4
110,Solomon Islands,13.3,12.8,17.1,16.5
111,Somalia,57.9,58.2,79.7,59.5
112,South Africa,3.9,3.5,4,6.5
114,Sri Lanka,16.9,14.1,10.3,6.8
115,Sudan,21.5,17.6,13.4,12.3
116,Suriname,11.8,8.8,8.2,8.7
119,Tanzania (United Rep. of),33,30.2,27.2,25.1
120,Thailand,17.3,10.6,8.8,8.2
121,Timor-Leste,41.5,31.9,31,22.6
122,Togo,31.3,27.2,19.5,20.4
123,Trinidad & Tobago,10,10.5,7.2,6.7
124,Tunisia,4.4,4.3,3.1,3
125,Turkey,2.5,2.5,2.5,2.5
126,Turkmenistan,6.8,4,5,4.1
128,Ukraine,3,2.5,2.5,2.5
129,Uruguay,3.6,3.7,2.5,2.5
130,Uzbekistan,17.9,12.6,2.5,2.5
131,Venezuela (Boliv. Rep. of),14.9,7,3.2,27.4
132,Viet Nam,19.7,15.3,9.3,6.7
133,Yemen,26.7,26.6,33.3,45.4
