Series Name,Series Code,Country Name,Country Code,2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997]
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Afghanistan,AFG,..,..,25.6,23.4,23,22.2,21.5,24.2,26.3,28.2,24.7,23.7,24.4,26.5,29.8,33.3,36.1,38,40.6,45.6,47.8,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Albania,ALB,..,..,3.9,4,4.1,4.3,4.7,4.4,3.9,3.5,4.1,4.9,5.9,7.3,8.3,8.8,8.9,8.6,7.5,6.1,4.9,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Algeria,DZA,..,..,2.5,2.5,2.7,2.8,2.8,2.9,3.1,3.3,4,4.6,5.3,5.6,5.9,6.4,6.7,7,7,7.3,8,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Angola,AGO,..,..,17.3,15.5,15.4,15.4,14.5,14.2,15,16.3,17.2,24.4,33.2,42.9,46.1,49.3,52.2,55.1,58.7,63.2,67.5,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Argentina,ARG,..,..,3.9,3.5,3.1,2.6,2.5,2.5,2.8,3.1,3.3,3.4,3.3,3.3,3.3,3.4,3.7,4,4.5,3.8,3,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Armenia,ARM,..,..,3.4,3.2,3.1,2.8,2.8,2.9,3.3,3.6,4,4.3,4.6,5.6,6.9,9.3,12.3,16,21.1,24.5,26.1,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Australia,AUS,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Austria,AUT,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Azerbaijan,AZE,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.8,4.8,7.4,10.4,13.4,17,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Bangladesh,BGD,..,..,9.7,10.8,12.5,13.3,14,14.2,15.1,15.5,15.7,15.2,14.7,13.6,13.9,13.8,14.2,14.4,14.9,15.1,15.9,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Barbados,BRB,..,..,4.1,4.2,4.3,4.3,4.3,4.2,4.4,4.5,4.7,4.8,4.8,4.9,5.3,5.3,6.1,6.2,6.7,6.2,6.4,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Belarus,BLR,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3.3,3.3,2.7,2.5,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Belgium,BEL,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Belize,BLZ,..,..,5.9,6.2,6.7,7.2,7.7,7.8,8.1,7.8,7.1,6.8,6.9,7.1,6.6,5.8,5.7,5.5,5.5,5.4,5.8,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Benin,BEN,..,..,7.6,7.3,7.2,7.3,7.3,7.5,7.6,7.9,8.3,8.5,9.1,9,10.1,11,12,13.2,13.7,15.5,17.2,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Bhutan,BTN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Bolivia,BOL,..,..,12.6,12.6,12.5,13.1,14.3,15.5,16.4,16.5,17.2,20.3,22.9,24.7,23.9,24.6,26.8,27.7,27.7,26.9,27.9,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Bosnia and Herzegovina,BIH,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.6,3,3.2,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Botswana,BWA,..,..,29.3,29.5,28.9,27.7,26.4,27.3,28,29.7,30.2,31.5,31.6,30.9,29.8,27.5,25.2,24.2,24.5,24.1,23.7,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Brazil,BRA,..,..,2.5,2.5,2.5,2.5,2.5,2.6,2.8,3.1,3.4,3.9,4.4,5.1,5.6,6.2,6.5,6.8,7.9,9.3,10.7,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Brunei Darussalam,BRN,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.6,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Bulgaria,BGR,..,..,3,2.8,3.1,3.6,3.4,3.4,3.4,4,4.3,4.3,4.3,4.5,4.6,5.1,4.9,4.9,4.5,4.2,4,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Burkina Faso,BFA,..,..,14.4,12.7,12.4,12.3,12,12,12.2,12.7,13.1,13.7,14.3,15.4,16,17.1,17.5,18.1,18.6,20.5,22.6,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Burundi,BDI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Cabo Verde,CPV,..,..,15.4,16.2,16.7,17,16.8,16.4,16,16,16.3,15.8,15,13.1,12.3,11.4,11,11.3,13.1,14.4,14.5,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Cambodia,KHM,..,..,6.2,6.8,7.7,8.5,8.9,9.6,10.8,12,12.7,13.3,13.9,14.5,14.8,15.6,17,18.5,19.4,21.2,23.6,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Cameroon,CMR,..,..,5.3,5.6,5.6,5.5,5.4,5.5,5.6,5.8,6.2,7.6,9.1,11.2,12.6,14.1,15.9,17.6,19.3,20.7,22.9,..,..,..,..
