Series Name,Series Code,Country Name,Country Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Population, male",SP.POP.TOTL.MA.IN,Afghanistan,AFG,15415361,15964874,16554278,17138803,17686166,18186994,18651985,19093043,19529727,19976265,..
"Population, male",SP.POP.TOTL.MA.IN,Africa Eastern and Southern,AFE,263893821,271250927,278815876,286561893,294467959,302526823,310737129,319086162,327561109,336152563,..
"Population, male",SP.POP.TOTL.MA.IN,Africa Western and Central,AFW,180829210,185876268,191044794,196342043,201772757,207338266,213034400,218853173,224783716,230818049,..
"Population, male",SP.POP.TOTL.MA.IN,Albania,ALB,1466246,1467285,1468260,1468434,1466457,1465287,1464130,1460043,1453180,1444326,..
"Population, male",SP.POP.TOTL.MA.IN,Algeria,DZA,18505611,18871563,19256116,19654929,20063891,20481901,20906756,21331993,21749666,22153808,..
"Population, male",SP.POP.TOTL.MA.IN,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..
"Population, male",SP.POP.TOTL.MA.IN,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..
"Population, male",SP.POP.TOTL.MA.IN,Angola,AGO,11974824,12413552,12863801,13323488,13791244,14266355,14749319,15241459,15744779,16260870,..
"Population, male",SP.POP.TOTL.MA.IN,Antigua and Barbuda,ATG,42763,43373,43951,44502,45028,45518,45986,46419,46851,47269,..
"Population, male",SP.POP.TOTL.MA.IN,Arab World,ARB,187771976,192111502,196398929,200657276,204904522,209130737,213323092,217523201,221750520,226025328,..
"Population, male",SP.POP.TOTL.MA.IN,Argentina,ARG,20082606,20318174,20552749,20785770,21016705,21245521,21472290,21696699,21918496,22137442,..
"Population, male",SP.POP.TOTL.MA.IN,Armenia,ARM,1346388,1351255,1359259,1367900,1375333,1381014,1385362,1388600,1391269,1393747,..
"Population, male",SP.POP.TOTL.MA.IN,Aruba,ABW,48648,48870,49115,49368,49597,49821,50033,50244,50443,50642,..
"Population, male",SP.POP.TOTL.MA.IN,Australia,AUS,11167269,11355294,11541758,11705167,11867302,12049619,12252228,12441473,12632259,12791828,..
"Population, male",SP.POP.TOTL.MA.IN,Austria,AUT,4092609,4114435,4142296,4178984,4231048,4282881,4319226,4346935,4372358,4395722,..
"Population, male",SP.POP.TOTL.MA.IN,Azerbaijan,AZE,4549072,4614067,4678173,4740934,4801750,4859774,4911735,4958380,5004135,5041659,..
"Population, male",SP.POP.TOTL.MA.IN,"Bahamas, The",BHS,174271,176254,178056,179810,181608,183477,185384,187322,189230,191093,..
"Population, male",SP.POP.TOTL.MA.IN,Bahrain,BHR,796037,806030,811369,822540,846756,886938,939850,998976,1054797,1100474,..
"Population, male",SP.POP.TOTL.MA.IN,Bangladesh,BGD,75809694,76643893,77504601,78368220,79217157,80048910,80869068,81677117,82473791,83259108,..
"Population, male",SP.POP.TOTL.MA.IN,Barbados,BRB,135877,136340,136769,137169,137548,137902,138223,138525,138813,139084,..
"Population, male",SP.POP.TOTL.MA.IN,Belarus,BLR,4398216,4391919,4391564,4395494,4402486,4406998,4402442,4393183,4384715,4367071,..
"Population, male",SP.POP.TOTL.MA.IN,Belgium,BEL,5420651,5453743,5479418,5505521,5541882,5577477,5609017,5645728,5686560,5727672,..
"Population, male",SP.POP.TOTL.MA.IN,Belize,BLZ,165115,168917,172699,176447,180135,183752,187296,190798,194281,197761,..
"Population, male",SP.POP.TOTL.MA.IN,Benin,BEN,4701607,4838355,4978896,5122907,5270132,5420569,5574297,5731239,5891256,6054248,..
"Population, male",SP.POP.TOTL.MA.IN,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..
"Population, male",SP.POP.TOTL.MA.IN,Bhutan,BTN,364318,368926,373822,378889,384018,389210,394499,399810,405032,410087,..
"Population, male",SP.POP.TOTL.MA.IN,Bolivia,BOL,5137926,5219814,5301540,5382819,5463444,5543317,5622487,5701161,5779611,5858019,..
"Population, male",SP.POP.TOTL.MA.IN,Bosnia and Herzegovina,BIH,1797359,1769247,1738041,1707765,1681343,1659723,1642272,1628375,1616799,1606609,..
"Population, male",SP.POP.TOTL.MA.IN,Botswana,BWA,983429,991624,998695,1007821,1021216,1039714,1062469,1088021,1114116,1139099,..
"Population, male",SP.POP.TOTL.MA.IN,Brazil,BRA,97385186,98220331,99043431,99855752,100657516,101450192,102232088,102996239,103733160,104435783,..
"Population, male",SP.POP.TOTL.MA.IN,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..
"Population, male",SP.POP.TOTL.MA.IN,Brunei Darussalam,BRN,203743,206870,209997,213022,215828,218376,220728,222904,224982,226987,..
"Population, male",SP.POP.TOTL.MA.IN,Bulgaria,BGR,3578030,3556675,3535805,3514595,3491057,3465478,3439061,3413178,3388224,3367114,..
"Population, male",SP.POP.TOTL.MA.IN,Burkina Faso,BFA,7981454,8231729,8488213,8750631,9018772,9292515,9571848,9856874,10147774,10444713,..
"Population, male",SP.POP.TOTL.MA.IN,Burundi,BDI,4429454,4573301,4720469,4872574,5030735,5195257,5365496,5540530,5718988,5899864,..
"Population, male",SP.POP.TOTL.MA.IN,Cabo Verde,CPV,249767,253247,256559,259819,263070,266349,269626,272866,276036,279117,..
"Population, male",SP.POP.TOTL.MA.IN,Cambodia,KHM,7087005,7205612,7326766,7448809,7570441,7691291,7811386,7930228,8047364,8162424,..
"Population, male",SP.POP.TOTL.MA.IN,Cameroon,CMR,10438338,10729397,11026877,11330730,11640880,11957213,12279497,12607251,12939928,13277075,..
"Population, male",SP.POP.TOTL.MA.IN,Canada,CAN,17035831,17219264,17399107,17572607,17703599,17906490,18125530,18387468,18654019,18862750,..
"Population, male",SP.POP.TOTL.MA.IN,Caribbean small states,CSS,3423521,3448594,3473834,3498728,3522849,3546027,3568256,3589560,3609947,3629472,..
"Population, male",SP.POP.TOTL.MA.IN,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..
"Population, male",SP.POP.TOTL.MA.IN,Central African Republic,CAF,2187973,2197286,2203461,2211896,2226565,2248836,2277876,2312820,2351973,2394042,..
"Population, male",SP.POP.TOTL.MA.IN,Central Europe and the Baltics,CEB,50312524,50217263,50132475,50048426,49950445,49835495,49720890,49628170,49563822,49497020,..
"Population, male",SP.POP.TOTL.MA.IN,Chad,TCD,6166545,6378518,6596372,6817947,7041734,7267235,7495003,7725723,7960522,8200170,..
"Population, male",SP.POP.TOTL.MA.IN,Channel Islands,CHI,79367,79947,80479,81045,81716,82514,83410,84346,85254,86070,..
"Population, male",SP.POP.TOTL.MA.IN,Chile,CHL,8481053,8562870,8647028,8739824,8844800,8965258,9097252,9228416,9341774,9425669,..
"Population, male",SP.POP.TOTL.MA.IN,China,CHN,691172304,695813520,700367049,704675333,708647978,712569385,716728147,719905214,722264717,723683488,..
"Population, male",SP.POP.TOTL.MA.IN,Colombia,COL,22374122,22575015,22780030,23013034,23288781,23618154,23990081,24370780,24713193,24984564,..
"Population, male",SP.POP.TOTL.MA.IN,Comoros,COM,356188,364951,373895,382953,392089,401274,410522,419834,429210,438653,..
"Population, male",SP.POP.TOTL.MA.IN,"Congo, Dem. Rep.",COD,33244602,34385069,35561914,36773965,38019960,39299343,40610874,41951875,43319103,44710172,..
"Population, male",SP.POP.TOTL.MA.IN,"Congo, Rep.",COG,2188038,2246780,2304083,2362141,2422571,2485795,2551316,2618741,2687358,2756678,..
"Population, male",SP.POP.TOTL.MA.IN,Costa Rica,CRI,2320217,2347235,2373809,2399916,2425530,2450639,2475235,2499229,2522539,2545076,..
"Population, male",SP.POP.TOTL.MA.IN,Cote d'Ivoire,CIV,10668125,10921921,11187178,11462641,11747319,12041040,12343867,12655166,12974206,13300380,..
